Title,Location,Company,Rating,Description
Data Analyst,Bengaluru,Target, 4.0,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Sr. Data Analyst,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Senior Software Development Engineer in Test (SDET),Bengaluru,AutoGrid,None,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Sr Data Analyst,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Lead Engineer,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Sr. Manager DSA,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Sr Data Scientist,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Engineer,Bengaluru,Target, 4.0,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Data Science Researcher,Bengaluru,Shell, 3.9,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Data Science Analyst,Bengaluru,AIG, 3.1,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
Data Analyst,Gurgaon,GroundTruth,None,"Description:  Education/Experience: Bachelors degree in Business, Engineering, Computing, Statistics, Mathematics or Economics and Masters degree in relevant field preferred. 4+ years relevant experience in business report development; and consulting with business clients in insights generation from core business metrics Technical Skills: Expertise in developing and transforming large data sets in Hadoop. Strong understanding on Hadoop Architecture Excellent knowledge of database management, data extraction and manipulation skills. Strong in SQL, Hive QL, Oozie, PySpark and Query Optimization techniques Exposure to Reporting and ETL tools is a strong add-on (e.g. Domo, Tableau) Ability to implement BI solutions in an automated and scalable way, with writing queries for high performance Good Understanding of Basic Stats and Probability is desirable, but not mandatory Knowledge of APIs and Kafka topics desired, but not mandatory Great communication skills and experience in working with clients independently Self-motivated and proactive in talking to business partners/clients to identify and understand problem statements. Translate that into design and produce consumable BI work products. Ability to be a strategic thought partner for the business clients and consult on business problems Qualifications:"
