Title,Location,Company,Rating,Description
Data Analyst,Bengaluru,Target, 4.0,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning,Bengaluru,Accenture, 3.9,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Data Scientist - Machine Learning,Bengaluru,HP Inc., 4.1,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Software Engineer - ,Mumbai,Saavn, 4.4,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Engineer - III,Hyderabad,Phenom People , 4.5,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
"Customer Success Manager, Enterprise",New Delhi,Udacity, 3.2,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
"Senior Data Engineer - Python, Machine Learning, Spark, REST API",Gurgaon,American Express, 3.9,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Engineer,Pune,Amdocs, 3.7,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
,Pune,Credit Suisse, 3.6,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Assistant Manager - Machine learning,Gurgaon,Genpact, 3.5,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
